title,author,description,target,isbn13
anxious people,Fredrik Backman,failed bank robber holds group strangers hostage apartment open house,anxious people failed bank robber holds group strangers hostage apartment open house,9781501160837
the guest list,Lucy Foley,wedding tv star magazine publisher island coast ireland turns deadly,the guest list wedding tv star magazine publisher island coast ireland turns deadly,9780062868930
caste,Isabel Wilkerson,pulitzer prizewinning journalist examines aspects caste systems across civilizations reveals rigid hierarchy america today,caste pulitzer prizewinning journalist examines aspects caste systems across civilizations reveals rigid hierarchy america today,9780593230251
is this anything?,Jerry Seinfeld,comedian shares material collected accordion folder last 45 years,is this anything? comedian shares material collected accordion folder last 45 years,9781982112691
untamed,Glennon Doyle,activist public speaker describes journey listening inner voice,untamed activist public speaker describes journey listening inner voice,9781984801258
killing crazy horse,Bill O'Reilly and Martin Dugard,ninth book conservative commentator’s killing series focuses conflicts native americans,killing crazy horse ninth book conservative commentator’s killing series focuses conflicts native americans,9781627797047
blackout,Candace Owens,conservative commentator makes case black americans part ways democratic party,blackout conservative commentator makes case black americans part ways democratic party,9781982133276
rage,Bob Woodward,based 17 ontherecord interviews president trump reporting pulitzer prizewinning journalist details president’s perspective multiple crises,rage based 17 ontherecord interviews president trump reporting pulitzer prizewinning journalist details president’s perspective multiple crises,9781982131739
humans,Brandon Stanton,photos stories people 40 countries collected creator “humans new york”,humans photos stories people 40 countries collected creator “humans new york”,9781250114297
american crisis,Andrew Cuomo,new york state governor gives perspective covid19 crisis prescribes ways deal future disasters,american crisis new york state governor gives perspective covid19 crisis prescribes ways deal future disasters,9780593239261
how to be an antiracist,Ibram X Kendi,primer creating equitable society identifying opposing racism,how to be an antiracist primer creating equitable society identifying opposing racism,9780525509288
ten lessons for a post-pandemic world,Fareed Zakaria,cnn host posits might happen side covid19 pandemic,ten lessons for a post-pandemic world cnn host posits might happen side covid19 pandemic,9780393542134
the meaning of mariah carey,Mariah Carey with Michaela Angela Davis,career highlights public life private struggles singer songwriter,the meaning of mariah carey career highlights public life private struggles singer songwriter,9781250164681
trumpty dumpty wanted a crown,John Lithgow,second illustrated collection poems chronicling satirizing current events,trumpty dumpty wanted a crown second illustrated collection poems chronicling satirizing current events,9781797209463
the 99% invisible city,Roman Mars and Kurt Kohlstedt,look design architecture various sometimes unexpected elements make cities function,the 99% invisible city look design architecture various sometimes unexpected elements make cities function,9780358126607
one vote away,Ted Cruz,republican senator texas gives views might happen liberals gain simple majority supreme court,one vote away republican senator texas gives views might happen liberals gain simple majority supreme court,9781684511341
too much and never enough,Mary L Trump,clinical psychologist gives assessment events patterns inside family shaped president trump,too much and never enough clinical psychologist gives assessment events patterns inside family shaped president trump,9781982141462
white fragility,Robin DiAngelo,historical cultural analyses causes defensive moves white people inhibits crossracial dialogue,white fragility historical cultural analyses causes defensive moves white people inhibits crossracial dialogue,9780807047415
my own words,Ruth Bader Ginsburg with Mary Hartnett and Wendy W Williams,collection articles speeches supreme court justice,my own words collection articles speeches supreme court justice,9781501145254
the body keeps the score,Bessel van der Kolk,trauma affects body mind innovative treatments recovery,the body keeps the score trauma affects body mind innovative treatments recovery,9780143127741
the color of law,Richard Rothstein,case american government abetted racial segregation metropolitan areas across country,the color of law case american government abetted racial segregation metropolitan areas across country,9781631494536
the warmth of other suns,Isabel Wilkerson,account great migration 191570 six million africanamericans abandoned south,the warmth of other suns account great migration 191570 six million africanamericans abandoned south,9780679763888
just mercy,Bryan Stevenson,civil rights lawyer macarthur grant recipient’s memoir decades work free innocent people condemned death,just mercy civil rights lawyer macarthur grant recipient’s memoir decades work free innocent people condemned death,9780812984965
braiding sweetgrass,Robin Wall Kimmerer,botanist member citizen potawatomi nation espouses understanding appreciation plants animals,braiding sweetgrass botanist member citizen potawatomi nation espouses understanding appreciation plants animals,9781571313560
so you want to talk about race,Ijeoma Oluo,look contemporary racial landscape united states,so you want to talk about race look contemporary racial landscape united states,9781580058827
born a crime,Trevor Noah,memoir growing biracial apartheid south africa host “the daily show”,born a crime memoir growing biracial apartheid south africa host “the daily show”,9780399588198
the new jim crow,Michelle Alexander,law professor “war drugs” role disproportionate incarceration black men,the new jim crow law professor “war drugs” role disproportionate incarceration black men,9781620971932
what unites us,Dan Rather and Elliot Kirschner,collection essays define historical changes essential institutions america suggest ways overcome divisions within country,what unites us collection essays define historical changes essential institutions america suggest ways overcome divisions within country,9781616209940
sapiens,Yuval Noah Harari,homo sapiens became earth’s dominant species,sapiens homo sapiens became earth’s dominant species,9780062316110
stamped from the beginning,Ibram X Kendi,winner 2016 national book award nonfiction look antiblack racist ideas effect course american history,stamped from the beginning winner 2016 national book award nonfiction look antiblack racist ideas effect course american history,9781568585987
hillbilly elegy,JD Vance,yale law school graduate looks struggles white working class story childhood,hillbilly elegy yale law school graduate looks struggles white working class story childhood,9780062300553
the truths we hold,Kamala Harris,memoir daughter immigrants california senator 2020 democratic candidate vice president,the truths we hold memoir daughter immigrants california senator 2020 democratic candidate vice president,9780525560739
magic lessons,Alice Hoffman,prequel “practical magic” maria owens invokes curse haunt family salem mass,magic lessons prequel “practical magic” maria owens invokes curse haunt family salem mass,9781982108847
one by one,Ruth Ware,avalanche tests bonds coworkers londonbased tech startup corporate retreat french alps,one by one avalanche tests bonds coworkers londonbased tech startup corporate retreat french alps,9781501188817
vince flynn: total power,Kyle Mills,america’s power grid shut mitch rapp goes cyber terrorist,vince flynn: total power america’s power grid shut mitch rapp goes cyber terrorist,9781501190650
undaunted,John O Brennan,former cia director recounts key moments career evaluates national security policies actions,undaunted former cia director recounts key moments career evaluates national security policies actions,9781250241771
trust,Pete Buttigieg,former mayor south bend 2020 democratic presidential candidate prescribes ways restore considers essential element america’s democracy,trust former mayor south bend 2020 democratic presidential candidate prescribes ways restore considers essential element america’s democracy,9781631498770
let love rule,Lenny Kravitz with David Ritz,musician reflects opposing elements created balance life,let love rule musician reflects opposing elements created balance life,9781250113085
on tyranny,Timothy Snyder,twenty lessons 20th century course tyranny,on tyranny twenty lessons 20th century course tyranny,9780804190114
my grandmother's hands,Resmaa Menakem,therapist specializes trauma bodycentered psychotherapy violence prevention explains racisms effect body,my grandmother's hands therapist specializes trauma bodycentered psychotherapy violence prevention explains racisms effect body,9781942094470
battle ground,Jim Butcher,17th book dresden files series harry must save chicago destruction last titan,battle ground 17th book dresden files series harry must save chicago destruction last titan,9780593199305
violet bent backwards over the grass,Lana Del Rey,collection poems singer songwriter,violet bent backwards over the grass collection poems singer songwriter,9781982167288
jack,Marilynne Robinson,interracial romance develops preacher’s daughter presbyterian minister’s son,jack interracial romance develops preacher’s daughter presbyterian minister’s son,9780374279301
a deadly education,Naomi Novik,others expect dark sorceress cause damage plans,a deadly education others expect dark sorceress cause damage plans,9780593128480
the midnight library,Matt Haig,nora seed finds library beyond edge universe contains books multiple possibilities lives one could lived,the midnight library nora seed finds library beyond edge universe contains books multiple possibilities lives one could lived,9780525559474
the harbinger ii,Jonathan Cahn,nouriel ana goren figure known prophet return revelations unlocked,the harbinger ii nouriel ana goren figure known prophet return revelations unlocked,9781629998916
camino winds,John Grisham,line fact fiction becomes blurred author thrillers found dead hurricane hits camino island,camino winds line fact fiction becomes blurred author thrillers found dead hurricane hits camino island,9780385545938
if it bleeds,Stephen King,four novellas “mr harrigan’s phone” “the life chuck” “rat” “if bleeds”,if it bleeds four novellas “mr harrigan’s phone” “the life chuck” “rat” “if bleeds”,9781982137977
walk the wire,David Baldacci,sixth book memory man series decker jamison investigate murder north dakota town fracking boom,walk the wire sixth book memory man series decker jamison investigate murder north dakota town fracking boom,9781538761465
the 20th victim,James Patterson and Maxine Paetro,20th book women’s murder club series lindsay boxer looks murders disreputable persons three separate cities,the 20th victim 20th book women’s murder club series lindsay boxer looks murders disreputable persons three separate cities,9780316420280
big summer,Jennifer Weiner,daphne berg’s former best friend asks maid honor wedding cape cod,big summer daphne berg’s former best friend asks maid honor wedding cape cod,9781501133510
american dirt,Jeanine Cummins,bookseller flees mexico united states son pursued head drug cartel,american dirt bookseller flees mexico united states son pursued head drug cartel,9781250209764
the last trial,Scott Turow,85yearold defense lawyer puts retirement aid nobel prize winner medicine accused insider trading fraud murder,the last trial 85yearold defense lawyer puts retirement aid nobel prize winner medicine accused insider trading fraud murder,9781538748138
all adults here,Emma Straub,repressed memory triggers astrid strick weigh outcomes parenting nowgrown children,all adults here repressed memory triggers astrid strick weigh outcomes parenting nowgrown children,9781594634697
the book of longings,Sue Monk Kidd,scholarly young woman named ana meets 18yearold jesus becomes caught confluence dangers,the book of longings scholarly young woman named ana meets 18yearold jesus becomes caught confluence dangers,9780525429760
the book of lost friends,Lisa Wingate,stories three women struggling get louisiana texas reconstruction discovered firstyear teacher living century later,the book of lost friends stories three women struggling get louisiana texas reconstruction discovered firstyear teacher living century later,9781984819888
the wedding dress,Danielle Steel,triumphs losses one family last century recounted symbolic piece apparel gets handed generations,the wedding dress triumphs losses one family last century recounted symbolic piece apparel gets handed generations,9780399179594
the giver of stars,Jojo Moyes,depressionera kentucky five women refuse cowed men convention deliver books,the giver of stars depressionera kentucky five women refuse cowed men convention deliver books,9780399562488
the henna artist,Alka Joshi,1950s jaipur young woman escaped abusive marriage started new life confronted husband,the henna artist 1950s jaipur young woman escaped abusive marriage started new life confronted husband,9780778309451
shakespeare for squirrels,Christopher Moore,duke orders death pocket dog snogging escapes woods works become fairy king’s replacement fool,shakespeare for squirrels duke orders death pocket dog snogging escapes woods works become fairy king’s replacement fool,9780062434029
becoming,Michelle Obama,former first lady describes balanced work family husband’s political ascent,becoming former first lady describes balanced work family husband’s political ascent,9781524763138
the splendid and the vile,Erik Larson,examination leadership prime minister winston churchill,the splendid and the vile examination leadership prime minister winston churchill,9780385348713
educated,Tara Westover,daughter survivalists kept school educates enough leave home university,educated daughter survivalists kept school educates enough leave home university,9780399590504
plague of corruption,Judy Mikovits and Kent Heckenlively,controversial virologist gives account work nearly four decades,plague of corruption controversial virologist gives account work nearly four decades,9781510752245
the lincoln conspiracy,Brad Meltzer and Josh Mensch,allan pinkerton along undercover agents thwarted lesserknown assassination attempt abraham lincoln baltimore 1861,the lincoln conspiracy allan pinkerton along undercover agents thwarted lesserknown assassination attempt abraham lincoln baltimore 1861,9781250317476
the mamba mentality,Kobe Bryant,various skills techniques used court late los angeles lakers player,the mamba mentality various skills techniques used court late los angeles lakers player,9780374201234
hidden valley road,Robert Kolker,1945 1965 family colorado 12 children six went develop schizophrenia,hidden valley road 1945 1965 family colorado 12 children six went develop schizophrenia,9780385543767
fortitude,Dan Crenshaw,texas congressman former navy seal prescribes ways overcome adversity,fortitude texas congressman former navy seal prescribes ways overcome adversity,9781538733301
the rural diaries,Hilarie Burton Morgan,actress starts family transplants working farm revitalizes candy store rhinebeck ny,the rural diaries actress starts family transplants working farm revitalizes candy store rhinebeck ny,9780062862754
pelosi,Molly Ball,overview speaker house’s accomplishments obama trump administrations,pelosi overview speaker house’s accomplishments obama trump administrations,9781250252869
incomparable,Brie Bella and Nikki Bella,identical twins wwe hall famers share challenges faced,incomparable identical twins wwe hall famers share challenges faced,9781501191916
24,Willie Mays and John Shea,memoir baseball hall famer told 24 chapters correspond wellknown uniform number,24 memoir baseball hall famer told 24 chapters correspond wellknown uniform number,9781250230423
the house of kennedy,James Patterson and Cynthia Fagen,look achievements political family called “the kennedy curse”,the house of kennedy look achievements political family called “the kennedy curse”,9780316454483
talking to strangers,Malcolm Gladwell,famous examples miscommunication serve backdrop explain potential conflicts misunderstandings,talking to strangers famous examples miscommunication serve backdrop explain potential conflicts misunderstandings,9780316478526
the great influenza,John M Barry,overview 1918 flu epidemic cautionary tale similar kinds largescale outbreaks,the great influenza overview 1918 flu epidemic cautionary tale similar kinds largescale outbreaks,9780143036494
a woman of no importance,Sonia Purnell,true story baltimore socialite joined spy organization world war ii became essential french resistance,a woman of no importance true story baltimore socialite joined spy organization world war ii became essential french resistance,9780735225312
the pioneers,David McCullough,pulitzer prizewinning historian tells story settling northwest territory five main characters,the pioneers pulitzer prizewinning historian tells story settling northwest territory five main characters,9781501168703
unorthodox,Deborah Feldman,woman breaks free satmar hasidic community brooklyn raised,unorthodox woman breaks free satmar hasidic community brooklyn raised,9781982148201
grit,Angela Duckworth,macarthur fellow argues passion perseverance important innate talent creating success,grit macarthur fellow argues passion perseverance important innate talent creating success,9781501111112
"thinking, fast and slow",Daniel Kahneman,cannot trust intuitions making business personal decisions,"thinking, fast and slow cannot trust intuitions making business personal decisions",9780374533557
the fifth risk,Michael Lewis,trump administration staffs federal agencies,the fifth risk trump administration staffs federal agencies,9780393357455
outliers,Malcolm Gladwell,unexpected factors explain people succeed upbringing timing 10000 hours deliberate practice,outliers unexpected factors explain people succeed upbringing timing 10000 hours deliberate practice,9780316017930
"wow, no thank you",Samantha Ir,comedic essays author blogger splits time hollywood meetings living liberal suburban town red state,"wow, no thank you comedic essays author blogger splits time hollywood meetings living liberal suburban town red state",9780525563488
"hello, summer",Mary Kay Andrews,conley hawkins loses bigcity beat takes gossip column family’s smalltown newspaper,"hello, summer conley hawkins loses bigcity beat takes gossip column family’s smalltown newspaper",9781250256928
masked prey,John Sandford,30th book prey series washington politicians ask lucas davenport look someone targeting children,masked prey 30th book prey series washington politicians ask lucas davenport look someone targeting children,9780525539520
someone like you,Karen Kingsbury,uncovering secret maddie baxter west breaks life find could,someone like you uncovering secret maddie baxter west breaks life find could,9781982104313
resistance,Tori Amos,grammynominated musician details career work championed marginalized,resistance grammynominated musician details career work championed marginalized,9781982104153
don't burn this book,Dave Rubin,internet show host explains moved away progressive politics,don't burn this book internet show host explains moved away progressive politics,9780593084298
open book,Jessica Simpson with Kevin Carr O’Leary,singer actress fashion designer discloses times success trauma addiction,open book singer actress fashion designer discloses times success trauma addiction,9780062899965
shoe dog,Phil Knight,memoir cofounder nike inc,shoe dog memoir cofounder nike inc,9781501135927
the guardians,John Grisham,cullen post lawyer episcopal minister antagonizes ruthless killers takes wrongful conviction case,the guardians cullen post lawyer episcopal minister antagonizes ruthless killers takes wrongful conviction case,9780385544184
criss cross,James Patterson,27th book alex cross series copycat crimes make detective question whether innocent man executed,criss cross 27th book alex cross series copycat crimes make detective question whether innocent man executed,9780316526883
the institute,Stephen King,children special talents abducted sequestered institution sinister staff seeks extract gifts harsh methods,the institute children special talents abducted sequestered institution sinister staff seeks extract gifts harsh methods,9781982110567
a minute to midnight,David Baldacci,atlee pine returns hometown investigate sister’s kidnapping 30 years ago winds tracking potential serial killer,a minute to midnight atlee pine returns hometown investigate sister’s kidnapping 30 years ago winds tracking potential serial killer,9781538761601
the dutch house,Ann Patchett,sibling relationship impacted family goes poverty wealth back course many decades,the dutch house sibling relationship impacted family goes poverty wealth back course many decades,9780062963673
blue moon,Lee Child,jack reacher gets caught turf war ukrainian albanian gangs,blue moon jack reacher gets caught turf war ukrainian albanian gangs,9780399593543
twisted twenty-six,Janet Evanovich,26th book stephanie plum series new jersey gangster’s associates go bounty hunter’s widowed grandmother,twisted twenty-six 26th book stephanie plum series new jersey gangster’s associates go bounty hunter’s widowed grandmother,9780399180194
the testaments,Margaret Atwood,sequel “the handmaid’s tale” old secrets bring three women together republic gilead’s theocratic regime shows signs decay,the testaments sequel “the handmaid’s tale” old secrets bring three women together republic gilead’s theocratic regime shows signs decay,9780385543781
"olive, again",Elizabeth Strout,followup pulitzer prizewinning novel “olive kitteridge” new relationships including second marriage encountered seaside town maine,"olive, again followup pulitzer prizewinning novel “olive kitteridge” new relationships including second marriage encountered seaside town maine",9780812996548
the silent patient,Alex Michaelides,theo faber looks mystery famous painter stops speaking shooting husband,the silent patient theo faber looks mystery famous painter stops speaking shooting husband,9781250301697
the rise of magicks,Nora Roberts,third book chronicles one series fallon swift goes old foe,the rise of magicks third book chronicles one series fallon swift goes old foe,9781250123039
the water dancer,Ta-Nehisi Coates,young man gifted mysterious power becomes part war slavers enslaved,the water dancer young man gifted mysterious power becomes part war slavers enslaved,9780399590597
the starless sea,Erin Morgenstern,zachary ezra rawlins fights save labyrinthine underground repository stories,the starless sea zachary ezra rawlins fights save labyrinthine underground repository stories,9780385541213
me,Elton John,multiawardwinning solo artists first autobiography chronicles career relationships private struggles,me multiawardwinning solo artists first autobiography chronicles career relationships private struggles,9781250147608
sam houston and the alamo avengers,Brian Kilmeade,fox friends” host gives account battle mexican army 1836,sam houston and the alamo avengers fox friends” host gives account battle mexican army 1836,9780525540533
the book of gutsy women,Hillary Rodham Clinton and Chelsea Clinton,profiles women around world blazed trails challenged status quo,the book of gutsy women profiles women around world blazed trails challenged status quo,9781501178412
the body,Bill Bryson,owner’s manual human body covering various parts functions happens things go wrong,the body owner’s manual human body covering various parts functions happens things go wrong,9780385539302
finding chika,Mitch Albom,lessons learned alboms bring haitian orphan lifethreatening illness family,finding chika lessons learned alboms bring haitian orphan lifethreatening illness family,9780062952394
blowout,Rachel Maddow,msnbc host argues global oil gas industry weakened democracies bolstered authoritarians,blowout msnbc host argues global oil gas industry weakened democracies bolstered authoritarians,9780525575474
triggered,Donald Trump Jr,forays politics views liberals executive vice president trump organization,triggered forays politics views liberals executive vice president trump organization,9781546086031
a warning,Anonymous,senior official trump administration offers assessment president makes moral appeal,a warning senior official trump administration offers assessment president makes moral appeal,9781538718469
home work,Julie Andrews and Emma Walton Hamilton,musical theater icons second installment memoir describes arrival hollywood becoming mother relationship blake edwards,home work musical theater icons second installment memoir describes arrival hollywood becoming mother relationship blake edwards,9780316349253
the way i heard it,Mike Rowe,television personality relays stories podcast personal anecdotes,the way i heard it television personality relays stories podcast personal anecdotes,9781982130855
dumpty,John Lithgow,multiawardwinning actor satirizes trump administration collection poems illustrations,dumpty multiawardwinning actor satirizes trump administration collection poems illustrations,9781452182759
the beautiful ones,Prince,memoir musician written death photos memorabilia showing evolution,the beautiful ones memoir musician written death photos memorabilia showing evolution,9780399589652
i heard you paint houses,Charles Brandt,world war ii veteran works crime boss comes contact union boss jimmy hoffa basis movie irishman,i heard you paint houses world war ii veteran works crime boss comes contact union boss jimmy hoffa basis movie irishman,9781586422387
no one is too small to make a difference,Greta Thunberg,speeches swedish climate activist including address united nations,no one is too small to make a difference speeches swedish climate activist including address united nations,9780143133568
why we sleep,Matthew Walker,neuroscientist uses recent scientific discoveries explain functions sleep dreams,why we sleep neuroscientist uses recent scientific discoveries explain functions sleep dreams,9781501144325
these truths,Jill Lepore,investigation truth america traced intertwining histories politics law technology journalism,these truths investigation truth america traced intertwining histories politics law technology journalism,9780393357424
the library book,Susan Orlean,story 1986 fire los angeles public library provides backdrop evolution purpose libraries,the library book story 1986 fire los angeles public library provides backdrop evolution purpose libraries,9781476740195
killers of the flower moon,David Grann,story murder spree 1920s oklahoma targeted osage indians whose lands contained oil fledgling fbi intervened ineffectively,killers of the flower moon story murder spree 1920s oklahoma targeted osage indians whose lands contained oil fledgling fbi intervened ineffectively,9780307742483
calypso,David Sedaris,collection comedic stories mortality middle age beach house dubbed sea section,calypso collection comedic stories mortality middle age beach house dubbed sea section,9780316392426
the good neighbor,Maxwell King,personal professional artistic life fred rogers creator star “mister rogers’ neighborhood”,the good neighbor personal professional artistic life fred rogers creator star “mister rogers’ neighborhood”,9781419735165
spy,Danielle Steel,alexandra wickham espionage agent world war ii must keep secret hidden cold war,spy alexandra wickham espionage agent world war ii must keep secret hidden cold war,9780399179440
the united states of trump,Bill O'Reilly,conservative commentator weaves interviews personal history portray power influence 45th president,the united states of trump conservative commentator weaves interviews personal history portray power influence 45th president,9781250237224
impeach,Neal Katyal and Sam Koppelman,supreme court lawyer also former acting solicitor general argues president trump removed office,impeach supreme court lawyer also former acting solicitor general argues president trump removed office,9780358391173
on desperate ground,Hampton Sides,account battle fought near chosin reservoir korean war,on desperate ground account battle fought near chosin reservoir korean war,9781101971215
21 lessons for the 21st century,Yuval Noah Harari,technological political social issues modern era choices individuals might consider facing,21 lessons for the 21st century technological political social issues modern era choices individuals might consider facing,9780525512196
they called us enemy,"George Takei, Justin Eisinger and Steven Scott",graphic novel mr takei’s firsthand experiences imprisoned japanese american internment camp world war ii,they called us enemy graphic novel mr takei’s firsthand experiences imprisoned japanese american internment camp world war ii,9781603094504
the mueller report,with related materials  The Washington Post,redacted findings special counsel’s investigation russian interference 2016 presidential election potential obstruction justice president,the mueller report redacted findings special counsel’s investigation russian interference 2016 presidential election potential obstruction justice president,9781982129736
how to change your mind,Michael Pollan,personal account psychedelics might help mentally ill people dealing everyday challenges,how to change your mind personal account psychedelics might help mentally ill people dealing everyday challenges,9780735224155
being mortal,Atul Gawande,surgeon new yorker writer considers doctors fail patients end life better,being mortal surgeon new yorker writer considers doctors fail patients end life better,9781250076229
under currents,Nora Roberts,echoes violent childhood reverberate zane bigelow starts new kind family north carolina’s blue ridge mountains,under currents echoes violent childhood reverberate zane bigelow starts new kind family north carolina’s blue ridge mountains,9781250207098
summer of '69,Elin Hilderbrand,levin family undergoes dramatic events son vietnam daughter protests dark secrets hiding beneath surface,summer of '69 levin family undergoes dramatic events son vietnam daughter protests dark secrets hiding beneath surface,9780316420013
city of girls,Elizabeth Gilbert,89yearold vivian morris looks back direction life took entered 1940s new york theater scene,city of girls 89yearold vivian morris looks back direction life took entered 1940s new york theater scene,9781594634734
backlash,Brad Thor,cut support scot harvath fights get revenge,backlash cut support scot harvath fights get revenge,9781982104030
knife,Jo Nesbo,rakel kicks harry hole begins anew oslo police cold case office investigate serial rapist killer past,knife rakel kicks harry hole begins anew oslo police cold case office investigate serial rapist killer past,9780525655398
the chain,Adrian McKinty,rachel klein ensnared payitforward criminal enterprise involving ransoms kidnapping,the chain rachel klein ensnared payitforward criminal enterprise involving ransoms kidnapping,9780316531269
lost and found,Danielle Steel,photographer embarks road trip reconnect three men might married,lost and found photographer embarks road trip reconnect three men might married,9780399179471
evvie drake starts over,Linda Holmes,seaside town maine former major league pitcher grieving widow assess pasts,evvie drake starts over seaside town maine former major league pitcher grieving widow assess pasts,9780525619246
mrs. everything,Jennifer Weiner,story two sisters jo bethie kaufman life experiences world around changes drastically 1950s,mrs. everything story two sisters jo bethie kaufman life experiences world around changes drastically 1950s,9781501133480
unsolved,James Patterson and David Ellis,string seemingly accidental unrelated deaths confound fbi agent emmy dockery,unsolved string seemingly accidental unrelated deaths confound fbi agent emmy dockery,9780316419826
the golden hour,Beatriz Williams,1941 society magazine writer turns unsavory dealings investigates duke duchess windsor bahamas,the golden hour 1941 society magazine writer turns unsavory dealings investigates duke duchess windsor bahamas,9780062834751
on earth we're briefly gorgeous,Ocean Vuong,little dog writes letter mother cannot read revealing family history,on earth we're briefly gorgeous little dog writes letter mother cannot read revealing family history,9780525562023
whisper network,Chandler Baker,three close coworkers file sexual harassment lawsuit top ceo candidate athletic apparel brand dallas,whisper network three close coworkers file sexual harassment lawsuit top ceo candidate athletic apparel brand dallas,9781250319470
three women,Lisa Taddeo,inequality female desire explored sex lives homemaker high school student restaurant owner,three women inequality female desire explored sex lives homemaker high school student restaurant owner,9781451642292
the pioneers,David McCullough,pulitzer prizewinning historian tells story settling northwest territory five main characters,the pioneers pulitzer prizewinning historian tells story settling northwest territory five main characters,9781501168680
unfreedom of the press,Mark R Levin,conservative commentator radio host makes case press aligned political ideology,unfreedom of the press conservative commentator radio host makes case press aligned political ideology,9781476773094
justice on trial,Mollie Hemingway and Carrie Severino,conservative authors give take confirmation supreme court justice brett kavanaugh,justice on trial conservative authors give take confirmation supreme court justice brett kavanaugh,9781621579830
america's reluctant prince,Steven M Gillon,historian describes john f kennedy jr lens decadeslong friendship,america's reluctant prince historian describes john f kennedy jr lens decadeslong friendship,9781524742386
songs of america,Jon Meacham and Tim McGraw,pulitzer prize winner jon meacham grammy award winner tim mcgraw explore america shaped music,songs of america pulitzer prize winner jon meacham grammy award winner tim mcgraw explore america shaped music,9780593132951
the second mountain,David Brooks,new york times oped columnist espouses outward focus attain meaningful life,the second mountain new york times oped columnist espouses outward focus attain meaningful life,9780812993264
the british are coming,Rick Atkinson,pulitzer prizewinning historian journalist begins revolution trilogy events 1775 1777,the british are coming pulitzer prizewinning historian journalist begins revolution trilogy events 1775 1777,9781627790437
howard stern comes again,Howard Stern,radio interviewer delves favorite onair conversations past four decades career,howard stern comes again radio interviewer delves favorite onair conversations past four decades career,9781501194290
the sixth man,Andre Iguodala with Carvell Wallace,memoir professional basketball player golden state warriors 2012 nba allstar,the sixth man memoir professional basketball player golden state warriors 2012 nba allstar,9780525533986
dapper dan: made in harlem,Daniel R Day with Mikael Awake,memoir creator 1980s highend streetwear owner eponymous boutique,dapper dan: made in harlem memoir creator 1980s highend streetwear owner eponymous boutique,9780525510512
alone at dawn,Dan Schilling and Lori Chapman Longfritz,account actions taken air force combat controller john chapman afghanistan earned posthumous medal honor,alone at dawn account actions taken air force combat controller john chapman afghanistan earned posthumous medal honor,9781538729656
the man who sold america,Joy-Ann Reid,msnbc host gives analysis donald trump’s presidency,the man who sold america msnbc host gives analysis donald trump’s presidency,9780062880109
the immortal life of henrietta lacks,Rebecca Skloot,story woman whose cancer cells cultured without permission 1951,the immortal life of henrietta lacks story woman whose cancer cells cultured without permission 1951,9781400052189
lock every door,Riley Sager,apartment sitter uncovers secrets tries expose killer upscale manhattan building,lock every door apartment sitter uncovers secrets tries expose killer upscale manhattan building,9781524745141
tom clancy: enemy contact,Mike Maden,jack ryan jr must stop international criminal conspiracy deal tragic news,tom clancy: enemy contact jack ryan jr must stop international criminal conspiracy deal tragic news,9780525541691
girls like us,Cristina Alger,fbi agent nell flynn returns long island suspects recently deceased father might killed two young women,girls like us fbi agent nell flynn returns long island suspects recently deceased father might killed two young women,9780525535805
