genre,title,author,description,isbn13,weeks,rating,target
Combined Print & E-Book Fiction,the dark hours,Michael Connelly,death new year’s eve unsolved murder hunt serial rapists bring bosch ballard back together,9780316485647,3,,the dark hours Michael Connelly death new year’s eve unsolved murder hunt serial rapists bring bosch ballard back together
Combined Print & E-Book Fiction,the christmas promise,Richard Paul Evans,richelle writes book estranged deceased twin sister michelle titled “the prodigal daughter”,9781982177423,1,,the christmas promise Richard Paul Evans richelle writes book estranged deceased twin sister michelle titled “the prodigal daughter”
Combined Print & E-Book Fiction,the seven husbands of evelyn hugo,Taylor Jenkins Reid,movie icon recounts stories loves career struggling magazine writer,9781501161933,22,,the seven husbands of evelyn hugo Taylor Jenkins Reid movie icon recounts stories loves career struggling magazine writer
Combined Print & E-Book Fiction,state of terror,Hillary Rodham Clinton and Louise Penny,wake previous administration’s mishandling international affairs new secretary state ellen adams confronts interconnected global threats,9781982173678,5,,state of terror Hillary Rodham Clinton and Louise Penny wake previous administration’s mishandling international affairs new secretary state ellen adams confronts interconnected global threats
Combined Print & E-Book Fiction,project hail mary,Andy Weir,ryland grace awakes long sleep alone far home fate humanity rests shoulders,9780593135211,11,,project hail mary Andy Weir ryland grace awakes long sleep alone far home fate humanity rests shoulders
Combined Print & E-Book Fiction,sooley,John Grisham,samuel sooleymon receives basketball scholarship north carolina central determines bring family civil warravaged south sudan,9780385547680,1,,sooley John Grisham samuel sooleymon receives basketball scholarship north carolina central determines bring family civil warravaged south sudan
Combined Print & E-Book Fiction,finding ashley,Danielle Steel,two estranged sisters one former bestselling author nun reconnect one searches child gave,9781984821461,1,,finding ashley Danielle Steel two estranged sisters one former bestselling author nun reconnect one searches child gave
Combined Print & E-Book Fiction,a gambling man,David Baldacci,aloysius archer world war ii veteran seeks apprentice willie dash private eye corrupt california town,9781538719671,2,,a gambling man David Baldacci aloysius archer world war ii veteran seeks apprentice willie dash private eye corrupt california town
Combined Print & E-Book Fiction,fugitive telemetry,Martha Wells,sixth book murderbot diaries series dead body turns preservation station murderbot must speak humans,9781250765383,1,,fugitive telemetry Martha Wells sixth book murderbot diaries series dead body turns preservation station murderbot must speak humans
Combined Print & E-Book Fiction,the hill we climb,Amanda Gorman,poem read president joe bidens inauguration day youngest poet write perform inaugural poem,9780593465271,5,,the hill we climb Amanda Gorman poem read president joe bidens inauguration day youngest poet write perform inaugural poem
Combined Print & E-Book Fiction,the four winds,Kristin Hannah,dust storms roll great depression elsa must choose saving family farm heading west,9781250178602,13,,the four winds Kristin Hannah dust storms roll great depression elsa must choose saving family farm heading west
Combined Print & E-Book Fiction,where the crawdads sing,Delia Owens,quiet town north carolina coast 1969 young woman survived alone marsh becomes murder suspect,9780735219106,128,,where the crawdads sing Delia Owens quiet town north carolina coast 1969 young woman survived alone marsh becomes murder suspect
Combined Print & E-Book Fiction,ocean prey,John Sandford,31st book prey series federal officers killed lucas davenport virgil flowers team investigate matters,9780593087039,3,,ocean prey John Sandford 31st book prey series federal officers killed lucas davenport virgil flowers team investigate matters
Combined Print & E-Book Fiction,the midnight library,Matt Haig,nora seed finds library beyond edge universe contains books multiple possibilities lives one could lived,9780525559474,22,,the midnight library Matt Haig nora seed finds library beyond edge universe contains books multiple possibilities lives one could lived
Combined Print & E-Book Fiction,the sentinel,Lee Child and Andrew Child,jack reacher intervenes ambush tennessee uncovers conspiracy,9781984818485,10,,the sentinel Lee Child and Andrew Child jack reacher intervenes ambush tennessee uncovers conspiracy
Combined Print & E-Book Fiction,a distant shore,Karen Kingsbury,secret agent fbi young woman betrothed father drug lord pretend love mission,9781982104375,1,,a distant shore Karen Kingsbury secret agent fbi young woman betrothed father drug lord pretend love mission
Combined Print & E-Book Fiction,meant to be immortal,Lynsay Sands,32nd book argeneau series,9780062956392,1,,meant to be immortal Lynsay Sands 32nd book argeneau series
Combined Print & E-Book Fiction,thrawn ascendancy: greater good,Timothy Zahn,star wars saga thrawn expansionary defense fleet discover enemy truly operates,9780593158302,1,,thrawn ascendancy: greater good Timothy Zahn star wars saga thrawn expansionary defense fleet discover enemy truly operates
Combined Print & E-Book Fiction,whereabouts,Jhumpa Lahiri,woman feels lost life finds solace city calls home gets new outlook visiting sea,9780593318317,1,,whereabouts Jhumpa Lahiri woman feels lost life finds solace city calls home gets new outlook visiting sea
Combined Print & E-Book Fiction,the song of achilles,Madeline Miller,reimagining homer’s “iliad” narrated achilles companion patroclus,9780062060624,7,,the song of achilles Madeline Miller reimagining homer’s “iliad” narrated achilles companion patroclus
Combined Print & E-Book Fiction,the night fire,Michael Connelly,harry bosch renée ballard return take case held attention bosch’s mentor,9780316457484,1,,the night fire Michael Connelly harry bosch renée ballard return take case held attention bosch’s mentor
Combined Print & E-Book Fiction,the guardians,John Grisham,cullen post lawyer episcopal minister antagonizes ruthless killers takes wrongful conviction case,9780385544184,2,,the guardians John Grisham cullen post lawyer episcopal minister antagonizes ruthless killers takes wrongful conviction case
Combined Print & E-Book Fiction,the deserter,Nelson DeMille and Alex DeMille,two members criminal investigation division must bring back delta force soldier disappeared,9781501101779,1,,the deserter Nelson DeMille and Alex DeMille two members criminal investigation division must bring back delta force soldier disappeared
Combined Print & E-Book Fiction,the burning white,Brent Weeks,fifth book lightbringer series chromeria threatened kip guile pulls forces together one last fight,9780316251280,1,,the burning white Brent Weeks fifth book lightbringer series chromeria threatened kip guile pulls forces together one last fight
Combined Print & E-Book Fiction,agent running in the field,John le Carré,veteran britain’s secret intelligence service assigned command lesser band spies hatches covert operation,9781984878885,1,,agent running in the field John le Carré veteran britain’s secret intelligence service assigned command lesser band spies hatches covert operation
Combined Print & E-Book Fiction,where the crawdads sing,Delia Owens,quiet town north carolina coast 1969 young woman survived alone marsh becomes murder suspect,9780735219090,59,,where the crawdads sing Delia Owens quiet town north carolina coast 1969 young woman survived alone marsh becomes murder suspect
Combined Print & E-Book Fiction,the 19th christmas,James Patterson and Maxine Paetro,19th installment womens murder club series detective lindsay boxer company take fearsome criminal known loman,9780316420273,3,,the 19th christmas James Patterson and Maxine Paetro 19th installment womens murder club series detective lindsay boxer company take fearsome criminal known loman
Combined Print & E-Book Fiction,the dutch house,Ann Patchett,sibling relationship impacted family goes poverty wealth back course many decades,9780062963673,5,,the dutch house Ann Patchett sibling relationship impacted family goes poverty wealth back course many decades
Combined Print & E-Book Fiction,the institute,Stephen King,children special talents abducted sequestered institution sinister staff seeks extract gifts harsh methods,9781982110567,7,,the institute Stephen King children special talents abducted sequestered institution sinister staff seeks extract gifts harsh methods
Combined Print & E-Book Fiction,the testaments,Margaret Atwood,sequel “the handmaid’s tale” old secrets bring three women together republic gilead’s theocratic regime shows signs decay,9780385543781,7,,the testaments Margaret Atwood sequel “the handmaid’s tale” old secrets bring three women together republic gilead’s theocratic regime shows signs decay
Combined Print & E-Book Fiction,the water dancer,Ta-Nehisi Coates,young man gifted mysterious power becomes part war slavers enslaved,9780399590597,5,,the water dancer Ta-Nehisi Coates young man gifted mysterious power becomes part war slavers enslaved
Combined Print & E-Book Fiction,meant to be yours,Susan Mallery,fifth book happily inc series undateable pair drawn one another,9781488054235,1,,meant to be yours Susan Mallery fifth book happily inc series undateable pair drawn one another
Combined Print & E-Book Fiction,to the land of long lost friends,Alexander McCall Smith,20th book 1 ladies’ detective agency series precious ramotswe’s latest case involves preacher young woman,9781524747831,1,,to the land of long lost friends Alexander McCall Smith 20th book 1 ladies’ detective agency series precious ramotswe’s latest case involves preacher young woman
Combined Print & E-Book Fiction,bloody genius,John Sandford,12th book virgil flowers series fight university departments turns deadly,9780525536628,4,,bloody genius John Sandford 12th book virgil flowers series fight university departments turns deadly
Combined Print & E-Book Fiction,"olive, again",Elizabeth Strout,followup pulitzer prizewinning novel “olive kitteridge” new relationships including second marriage encountered seaside town maine,9780812996548,2,,"olive, again Elizabeth Strout followup pulitzer prizewinning novel “olive kitteridge” new relationships including second marriage encountered seaside town maine"
Combined Print & E-Book Fiction,supermarket,Bob Hall,depressed young man’s secrets exposed grocery store works becomes crime scene,9781982127138,1,,supermarket Bob Hall depressed young man’s secrets exposed grocery store works becomes crime scene
Combined Print & E-Book Fiction,tiamat's wrath,James SA Corey,eighth book expanse series,9780316332866,1,,tiamat's wrath James SA Corey eighth book expanse series
Combined Print & E-Book Fiction,wild card,Stuart Woods,49th book stone barrington series,9780735219304,1,,wild card Stuart Woods 49th book stone barrington series
Combined Print & E-Book Fiction,the cornwalls are gone,James Patterson and Brendan DuBois,army intelligence officer must commit crime lose kidnapped husband daughter,9780316485555,1,,the cornwalls are gone James Patterson and Brendan DuBois army intelligence officer must commit crime lose kidnapped husband daughter
Combined Print & E-Book Fiction,the last second,Catherine Coulter and JT Ellison,sixth book brit fbi series special agents must prevent use deadly weapon french satellite,9781501138249,1,,the last second Catherine Coulter and JT Ellison sixth book brit fbi series special agents must prevent use deadly weapon french satellite
Combined Print & E-Book Fiction,run away,Harlan Coben,family torn apart daughter becomes addicted drugs goes missing,9781538748466,2,,run away Harlan Coben family torn apart daughter becomes addicted drugs goes missing
Combined Print & E-Book Fiction,the american agent,Jacqueline Winspear,15th book maisie dobbs series germans attack british isles maisie must solve case protect young evacuee,9780062436696,1,,the american agent Jacqueline Winspear 15th book maisie dobbs series germans attack british isles maisie must solve case protect young evacuee
Combined Print & E-Book Fiction,the first lady,James Patterson and Brendan DuBois,sally grissom investigates disappearance president harrison tucker’s wife,9781538714911,3,,the first lady James Patterson and Brendan DuBois sally grissom investigates disappearance president harrison tucker’s wife
Combined Print & E-Book Fiction,the woman in the window,A.J. Finn,recluse drinks heavily takes prescription drugs may witnessed crime across harlem townhouse,9780062678423,20,,the woman in the window A.J. Finn recluse drinks heavily takes prescription drugs may witnessed crime across harlem townhouse
Combined Print & E-Book Fiction,celtic empire,Clive Cussler and Dirk Cussler,25th book dirk pitt series,9780735218994,2,,celtic empire Clive Cussler and Dirk Cussler 25th book dirk pitt series
Combined Print & E-Book Fiction,dark tribute,Iris Johansen,24th book eve duncan series violin prodigy tragic past kidnapped,9781466887268,1,,dark tribute Iris Johansen 24th book eve duncan series violin prodigy tragic past kidnapped
Combined Print & E-Book Fiction,the tattooist of auschwitz,Heather Morris,concentration camp detainee tasked permanently marking fellow prisoners falls love one,9780062797155,29,,the tattooist of auschwitz Heather Morris concentration camp detainee tasked permanently marking fellow prisoners falls love one
Combined Print & E-Book Fiction,the silent patient,Alex Michaelides,theo faber looks mystery famous painter stops speaking shooting husband,9781250301710,8,,the silent patient Alex Michaelides theo faber looks mystery famous painter stops speaking shooting husband
Combined Print & E-Book Fiction,fatal reckoning,Marie Force,14th book fatal series washington metro police lieutenant sam holland gets tip fathers murder,9781488034206,1,,fatal reckoning Marie Force 14th book fatal series washington metro police lieutenant sam holland gets tip fathers murder
Combined Print & E-Book Fiction,summer of '69,Elin Hilderbrand,levin family undergoes dramatic events son vietnam daughter protests dark secrets hiding beneath surface,9780316420013,1,,summer of '69 Elin Hilderbrand levin family undergoes dramatic events son vietnam daughter protests dark secrets hiding beneath surface
Combined Print & E-Book Fiction,the reckoning,John Grisham,decorated world war ii veteran shoots kills pastor inside mississippi church,9780525620938,19,,the reckoning John Grisham decorated world war ii veteran shoots kills pastor inside mississippi church
Combined Print & E-Book Fiction,city of girls,Elizabeth Gilbert,89yearold vivian morris looks back direction life took entered 1940s new york theater scene,9781594634734,3,,city of girls Elizabeth Gilbert 89yearold vivian morris looks back direction life took entered 1940s new york theater scene
Combined Print & E-Book Fiction,mrs. everything,Jennifer Weiner,story two sisters jo bethie kaufman life experiences world around changes drastically 1950s,9781501133503,2,,mrs. everything Jennifer Weiner story two sisters jo bethie kaufman life experiences world around changes drastically 1950s
Combined Print & E-Book Fiction,before we were yours,Lisa Wingate,south carolina lawyer learns questionable practices tennessee orphanage,9780425284704,41,,before we were yours Lisa Wingate south carolina lawyer learns questionable practices tennessee orphanage
Combined Print & E-Book Fiction,unsolved,James Patterson and David Ellis,string seemingly accidental unrelated deaths confound fbi agent emmy dockery,9780316419826,3,,unsolved James Patterson and David Ellis string seemingly accidental unrelated deaths confound fbi agent emmy dockery
Combined Print & E-Book Fiction,little fires everywhere,Celeste Ng,artist upends quiet town outside cleveland,9780735224315,39,,little fires everywhere Celeste Ng artist upends quiet town outside cleveland
Combined Print & E-Book Fiction,good omens,Neil Gaiman and Terry Pratchett,aziraphale angel rarebook dealer demon friend crowley try circumvent end world,9780060853983,1,,good omens Neil Gaiman and Terry Pratchett aziraphale angel rarebook dealer demon friend crowley try circumvent end world
Combined Print & E-Book Fiction,tom clancy: enemy contact,Mike Maden,jack ryan jr’s latest adventures take mission stop international criminal conspiracy deal tragic news,9780525541691,2,,tom clancy: enemy contact Mike Maden jack ryan jr’s latest adventures take mission stop international criminal conspiracy deal tragic news
Combined Print & E-Book Fiction,the oracle,Clive Cussler and Robin Burcell,treasurehunting couple sam remi fargo embark new adventure find sacred ancient scroll lift curse,9780525539612,2,,the oracle Clive Cussler and Robin Burcell treasurehunting couple sam remi fargo embark new adventure find sacred ancient scroll lift curse
Combined Print & E-Book Fiction,cottage by the sea,Debbie Macomber,annie marlow forms new relationships pacific northwest tries recover tragedy,9780399181276,4,,cottage by the sea Debbie Macomber annie marlow forms new relationships pacific northwest tries recover tragedy
Combined Print & E-Book Fiction,there goes my heart,Bella Andre,rory sullivan zara mirren go ex’s engagement party fake couple even though cannot stand,9781945253973,1,,there goes my heart Bella Andre rory sullivan zara mirren go ex’s engagement party fake couple even though cannot stand
Combined Print & E-Book Fiction,past tense,Lee Child,jack reacher explores new england town father born canadian couple find stranded,9780399593536,16,,past tense Lee Child jack reacher explores new england town father born canadian couple find stranded
Combined Print & E-Book Fiction,old bones,Douglas Preston and Lincoln Child,expedition sierra nevada uncovers new twists events involving donner party,9781538747216,1,,old bones Douglas Preston and Lincoln Child expedition sierra nevada uncovers new twists events involving donner party
Combined Print & E-Book Fiction,the last widow,Karin Slaughter,abduction centers disease control scientist explosions atlanta neighborhood portend massacre,9780062858887,1,,the last widow Karin Slaughter abduction centers disease control scientist explosions atlanta neighborhood portend massacre
Combined Print & E-Book Fiction,the art of racing in the rain,Garth Stein,insightful labterrier mix helps owner struggling race car driver,9780062364913,5,,the art of racing in the rain Garth Stein insightful labterrier mix helps owner struggling race car driver
Combined Print & E-Book Fiction,one good deed,David Baldacci,world war ii veteran parole must find real killer small town face going back jail,9781538750568,5,,one good deed David Baldacci world war ii veteran parole must find real killer small town face going back jail
Combined Print & E-Book Fiction,the inn,James Patterson with Candice Fox,former boston police detective innkeeper must shield seaside town crew criminals,9780316527583,3,,the inn James Patterson with Candice Fox former boston police detective innkeeper must shield seaside town crew criminals
Combined Print & E-Book Fiction,the goldfinch,Donna Tartt,painting smuggled metropolitan museum art bombing becomes boy’s prize guilt burden,9780316055444,46,,the goldfinch Donna Tartt painting smuggled metropolitan museum art bombing becomes boy’s prize guilt burden
Combined Print & E-Book Fiction,the turn of the key,Ruth Ware,nanny working technologyladen house scotland goes jail one children dies,9781501188770,3,,the turn of the key Ruth Ware nanny working technologyladen house scotland goes jail one children dies
Combined Print & E-Book Fiction,the bitterroots,CJ Box,fourth book cassie dewell series black sheep influential family accused assault,9781466852006,2,,the bitterroots CJ Box fourth book cassie dewell series black sheep influential family accused assault
Combined Print & E-Book Fiction,the nickel boys,Colson Whitehead,two boys respond horrors jim crowera reform school ways impact decades later,9780385537070,6,,the nickel boys Colson Whitehead two boys respond horrors jim crowera reform school ways impact decades later
Combined Print & E-Book Fiction,tidelands,Philippa Gregory,suspicions surround alinor widow skilled herbs english civil war 1648,9781501187179,1,,tidelands Philippa Gregory suspicions surround alinor widow skilled herbs english civil war 1648
Combined Print & E-Book Fiction,outfox,Sandra Brown,fbi agent drex easton hunch conman weston graham also serial killer,9781455572175,3,,outfox Sandra Brown fbi agent drex easton hunch conman weston graham also serial killer
Combined Print & E-Book Fiction,fool me once,Harlan Coben,retired army helicopter pilot faces combatrelated nightmares mysteries concerning deaths husband sister,9780698404175,1,,fool me once Harlan Coben retired army helicopter pilot faces combatrelated nightmares mysteries concerning deaths husband sister
Combined Print & E-Book Fiction,private paris,James Patterson and Mark Sullivan,jack morgan head private global investigative agency probes murders members french cultural elite,9780316408998,2,,private paris James Patterson and Mark Sullivan jack morgan head private global investigative agency probes murders members french cultural elite
Combined Print & E-Book Fiction,the nest,Cynthia D'Aprix Sweeney,siblings dysfunctional new york family must grapple reduced inheritance,9780062414236,1,,the nest Cynthia D'Aprix Sweeney siblings dysfunctional new york family must grapple reduced inheritance
Combined Print & E-Book Fiction,me before you,Jojo Moyes,woman barely beyond english village finds caring wealthy embittered quadriplegic,9780143124542,8,,me before you Jojo Moyes woman barely beyond english village finds caring wealthy embittered quadriplegic
Combined Print & E-Book Fiction,property of a noblewoman,Danielle Steel,two new yorkers searching owner abandoned safedeposit box reconstruct history young woman forbidden love affair time world war ii,9780345531063,2,,property of a noblewoman Danielle Steel two new yorkers searching owner abandoned safedeposit box reconstruct history young woman forbidden love affair time world war ii
Combined Print & E-Book Fiction,the nightingale,Kristin Hannah,two sisters separated world war ii france one countryside paris,9781466850606,48,,the nightingale Kristin Hannah two sisters separated world war ii france one countryside paris
Combined Print & E-Book Fiction,the summer before the war,Helen Simonson,life sussex england beginning world war,9780679644644,1,,the summer before the war Helen Simonson life sussex england beginning world war
Combined Print & E-Book Fiction,the guilty,David Baldacci,government hit man robie investigates murder charges estranged father mississippi hometown,9781455586431,9,,the guilty David Baldacci government hit man robie investigates murder charges estranged father mississippi hometown
Combined Print & E-Book Fiction,the wedding dress,Rachel Hauck,wedding approaching charlotte pieces together history vintage gown finds,9781401686314,5,,the wedding dress Rachel Hauck wedding approaching charlotte pieces together history vintage gown finds
Combined Print & E-Book Fiction,the wedding,Nicholas Sparks,regretful careerist seeks make amends,9780759507913,1,,the wedding Nicholas Sparks regretful careerist seeks make amends
Combined Print & E-Book Fiction,the girl on the train,Paula Hawkins,psychological thriller set environs london full complications betrayals,9781594633669,60,,the girl on the train Paula Hawkins psychological thriller set environs london full complications betrayals
Combined Print & E-Book Fiction,the third gate,Lincoln Child,professor jeremy logan “enigmalogist” called egypt help make sense peculiar happenings pharaoh’s newly discovered tomb,9780385531399,2,,the third gate Lincoln Child professor jeremy logan “enigmalogist” called egypt help make sense peculiar happenings pharaoh’s newly discovered tomb
Combined Print & E-Book Fiction,all the light we cannot see,Anthony Doerr,lives blind french girl gadgetobsessed german boy world war ii,9781476746586,78,,all the light we cannot see Anthony Doerr lives blind french girl gadgetobsessed german boy world war ii
Combined Print & E-Book Fiction,the liar,Nora Roberts,woman returning hometown discovers husband fraud implicated deceptions,9781101989753,10,,the liar Nora Roberts woman returning hometown discovers husband fraud implicated deceptions
Combined Print & E-Book Fiction,off the grid,C J Box,16th joe pickett novel features nate romanowski search domestic terror cell,9780698410053,3,,off the grid C J Box 16th joe pickett novel features nate romanowski search domestic terror cell
Combined Print & E-Book Fiction,heartbreaker,Linda Howard,woman inherits cattle ranch comes saddled former love next door,9780062422262,0,,heartbreaker Linda Howard woman inherits cattle ranch comes saddled former love next door
Combined Print & E-Book Fiction,room,Emma Donoghue,world 5yearold boy narrates novel 11by11foot room mother held basis movie,9780316098328,0,,room Emma Donoghue world 5yearold boy narrates novel 11by11foot room mother held basis movie
Combined Print & E-Book Fiction,memory man,David Baldacci,police detective uses extraordinary memory tackling case familys murder,9781455559800,0,,memory man David Baldacci police detective uses extraordinary memory tackling case familys murder
Combined Print & E-Book Fiction,a man called ove,Fredrik Backman,curmudgeons gruff exterior masks generosity spirit originally published sweden 2014,9781476738024,0,,a man called ove Fredrik Backman curmudgeons gruff exterior masks generosity spirit originally published sweden 2014
Combined Print & E-Book Fiction,the martian,Andy Weir,abandoned crew astronaut embarks dogged quest stay alive read wil wheaton 10 hours 59 minutes unabridged,9780553418026,0,,the martian Andy Weir abandoned crew astronaut embarks dogged quest stay alive read wil wheaton 10 hours 59 minutes unabridged
Combined Print & E-Book Fiction,me before you,Jojo Moyes,woman barely beyond english village finds caring wealthy embittered quadriplegic,9780143130154,21,,me before you Jojo Moyes woman barely beyond english village finds caring wealthy embittered quadriplegic
Combined Print & E-Book Fiction,end of watch,Stephen King,badguy brady acquires psychic powers conclusion bill hodges trilogy,9781501129742,3,,end of watch Stephen King badguy brady acquires psychic powers conclusion bill hodges trilogy
Combined Print & E-Book Fiction,the pursuit,Janet Evanovich and Lee Goldberg,fbi agent kate o’hare con man partner nick fox face dangerous exserbian military officer,9780553392784,1,,the pursuit Janet Evanovich and Lee Goldberg fbi agent kate o’hare con man partner nick fox face dangerous exserbian military officer
Combined Print & E-Book Fiction,bay of sighs,Nora Roberts,second installment guardians trilogy sawyer brings group island capri he’s drawn mermaid annika,9780425280119,2,,bay of sighs Nora Roberts second installment guardians trilogy sawyer brings group island capri he’s drawn mermaid annika
Combined Print & E-Book Fiction,here's to us,Elin Hilderbrand,sparks fly celebrity chef’s exwives pile small cabin nantucket join widow reading,9780316375153,2,,here's to us Elin Hilderbrand sparks fly celebrity chef’s exwives pile small cabin nantucket join widow reading
Combined Print & E-Book Fiction,foreign agent,Brad Thor,counterterrorism operative scot harvath searches informant compromised american mission syria,9781476789378,2,,foreign agent Brad Thor counterterrorism operative scot harvath searches informant compromised american mission syria
Combined Print & E-Book Fiction,the girls,Emma Cline,summer 1969 california teenager drawn mansonlike cult,9780812998603,2,,the girls Emma Cline summer 1969 california teenager drawn mansonlike cult
Combined Print & E-Book Fiction,go set a watchman,Harper Lee,mid1950s grownup jean louise finch returns maycomb realizes adored father racist,9780062409874,16,,go set a watchman Harper Lee mid1950s grownup jean louise finch returns maycomb realizes adored father racist
Combined Print & E-Book Fiction,before the fall,Noah Hawley,private jet crashes firestorm media madness ensues,9781455561803,4,,before the fall Noah Hawley private jet crashes firestorm media madness ensues
Combined Print & E-Book Fiction,cross kill,James Patterson,alex cross thinks hes seeing things killer long thought dead returns action,9780316317146,3,,cross kill James Patterson alex cross thinks hes seeing things killer long thought dead returns action
Combined Print & E-Book Fiction,after you,Jojo Moyes,death traynor louisa clark joins grief support group may lead new love,9780698152045,10,,after you Jojo Moyes death traynor louisa clark joins grief support group may lead new love
Combined Print & E-Book Fiction,the girl on the train,Paula Hawkins,psychological thriller set environs london full complications betrayals,9780698185395,70,,the girl on the train Paula Hawkins psychological thriller set environs london full complications betrayals
Combined Print & E-Book Fiction,the murder house,James Patterson and David Ellis,bodies found hamptons estate series grisly murders occurred local detective former new york city cop investigates,9780316337977,8,,the murder house James Patterson and David Ellis bodies found hamptons estate series grisly murders occurred local detective former new york city cop investigates
Combined Print & E-Book Fiction,tom clancy: duty and honor,Grant Blackwood,secretive german organization trying kill tom clancy’s character jack ryan jr clancy died 2013,9780399176807,2,,tom clancy: duty and honor Grant Blackwood secretive german organization trying kill tom clancy’s character jack ryan jr clancy died 2013
Combined Print & E-Book Fiction,say you'll stay,Corinne Michaels,failed marriage woman returns tennessee hometown encounters man deserted 17 years earlier,9781942834182,0,,say you'll stay Corinne Michaels failed marriage woman returns tennessee hometown encounters man deserted 17 years earlier
Combined Print & E-Book Fiction,riverbend road,Raeanne Thayne,wyn bailey’s attraction boss mutual acted upon injured wants open past obstacle,9780373789832,0,,riverbend road Raeanne Thayne wyn bailey’s attraction boss mutual acted upon injured wants open past obstacle
Combined Print & E-Book Fiction,15th affair,James Patterson and Maxine Paetro,brutal murder threatens domestic happiness san francisco police detective lindsay boxer turns help womens murder club,9780316290050,0,,15th affair James Patterson and Maxine Paetro brutal murder threatens domestic happiness san francisco police detective lindsay boxer turns help womens murder club
Combined Print & E-Book Fiction,born of legend,Sherrilyn Kenyon,,9781250082824,0,,
Combined Print & E-Book Fiction,the girl on the train,Paula Hawkins,psychological thriller set environs london full complications betrayals,9781594634024,83,,the girl on the train Paula Hawkins psychological thriller set environs london full complications betrayals
Combined Print & E-Book Fiction,home,Harlan Coben,myron bolitar friend win locate boy kidnapped 10 years earlier 11th myron bolitar novel,9780698411449,1,,home Harlan Coben myron bolitar friend win locate boy kidnapped 10 years earlier 11th myron bolitar novel
Combined Print & E-Book Fiction,the kept woman,Karin Slaughter,trent georgia bureau investigation lover medical examiner sara linton pursue case involving dirty atlanta cop,9780062430236,1,,the kept woman Karin Slaughter trent georgia bureau investigation lover medical examiner sara linton pursue case involving dirty atlanta cop
Combined Print & E-Book Fiction,magic binds,Ilona Andrews,mercenary kate daniels man loves decide marry steep obstacles standing way altar,9780698136786,1,,magic binds Ilona Andrews mercenary kate daniels man loves decide marry steep obstacles standing way altar
Combined Print & E-Book Fiction,commonwealth,Ann Patchett,five decades lives two families — parents children siblings stepchildren — remade divorce,9780062491794,2,,commonwealth Ann Patchett five decades lives two families — parents children siblings stepchildren — remade divorce
Combined Print & E-Book Fiction,the light between oceans,M L Stedman,australian lighthouse keeper wife decide keep baby washed ashore,9781451681765,12,,the light between oceans M L Stedman australian lighthouse keeper wife decide keep baby washed ashore
Combined Print & E-Book Fiction,immortal nights,Lynsay Sands,kidnapped man rescued woman dreams hunted kidnappers argeneau novel,9780062316073,1,,immortal nights Lynsay Sands kidnapped man rescued woman dreams hunted kidnappers argeneau novel
Combined Print & E-Book Fiction,thrice the brinded cat hath mew'd,Alan Bradley,eighth flavia de luce novel 12yearold chemistslashsleuth goes home england finds dead body trail,9780345539984,1,,thrice the brinded cat hath mew'd Alan Bradley eighth flavia de luce novel 12yearold chemistslashsleuth goes home england finds dead body trail
